condition,symptoms
hemorrhoids,"sharp abdominal pain,pain of the anus,heartburn,melena,mass or swelling around the anus,itching of the anus"
callus,"skin lesion,skin growth,foot or toe swelling"
itching of unknown cause,"vaginal itching,problems during pregnancy,fluid retention,itching of skin,skin dryness, peeling, scaliness, or roughness,itchy scalp,skin rash"
sensorineural hearing loss,"dizziness,hoarse voice,nasal congestion,diminished hearing,ear pain"
developmental disability,"hostile behavior,restlessness,seizures,temper problems,obsessions and compulsions"
flu,"sore throat,cough,vomiting,headache,nausea,diarrhea,ache all over"
psychotic disorder,"insomnia,abusing alcohol,delusions or hallucinations,temper problems,fears and phobias"
kidney failure,"shortness of breath,sharp chest pain,vomiting,nausea,arm swelling,leg swelling,swollen abdomen,symptoms of the kidneys"
injury to the trunk,"symptoms of the scrotum and testes,low back pain,bones are painful"
anemia,"shortness of breath,dizziness,vomiting blood,weakness,melena,nosebleed"
vulvodynia,"sharp abdominal pain,nausea,painful urination,lower abdominal pain,pain during pregnancy,pelvic pain,vaginal pain"
glaucoma,"diminished vision,symptoms of eye,foreign body sensation in eye,spots or clouds in vision,itchiness of eye"
pleural effusion,"sharp chest pain,cough,sharp abdominal pain,back pain,weakness,side pain,hurts to breath"
dermatitis due to sun exposure,"skin swelling,lack of growth,skin lesion,irregular appearing scalp,skin dryness, peeling, scaliness, or roughness"
depression,"depressive or psychotic symptoms,insomnia,abusing alcohol,hostile behavior,drug abuse,excessive anger,disturbance of memory,delusions or hallucinations,temper problems"
psoriasis,"skin lesion,skin growth,skin moles,skin dryness, peeling, scaliness, or roughness,skin rash"
drug abuse,"anxiety and nervousness,depressive or psychotic symptoms,abusing alcohol,drug abuse,smoking problems"
hiatal hernia,"dizziness,difficulty in swallowing,sharp abdominal pain,nausea,back pain,regurgitation,burning abdominal pain,regurgitation.1"
lipoma,"skin swelling,abnormal appearing skin,neck mass,bones are painful,shoulder lump or mass,arm lump or mass"
acute bronchiolitis,"cough,irritable infant,wheezing,decreased appetite,fever,difficulty breathing,hurts to breath"
pituitary adenoma,"headache,nausea,pain in eye,muscle swelling"
temporomandibular joint disorder,"sore throat,diminished hearing,pain in eye,neck pain"
vulvodynia,"sharp abdominal pain,nausea,painful urination,vaginal discharge"
lyme disease,"depressive or psychotic symptoms,hip pain,headache,abnormal appearing skin"
skin disorder,"skin swelling,abnormal appearing skin,skin lesion,irregular appearing scalp,skin moles,itching of skin,skin irritation"
corneal abrasion,"white discharge from eye,foreign body sensation in eye,eye redness,eyelid swelling"
vocal cord polyp,"hoarse voice,sore throat,difficulty speaking,throat swelling,throat feels tight"
astigmatism,"eye deviation,double vision,symptoms of eye,pain in eye,foreign body sensation in eye,spots or clouds in vision,lacrimation"
hypoglycemia,"depressive or psychotic symptoms,abnormal involuntary movements,nausea,problems with movement,weakness,decreased appetite,sweating"
bladder disorder,"painful urination,involuntary urination,frequent urination,lower abdominal pain,symptoms of bladder"
chronic glaucoma,"white discharge from eye,foreign body sensation in eye,spots or clouds in vision"
paroxysmal ventricular tachycardia,"shortness of breath,sharp chest pain,dizziness,chest tightness,irregular heartbeat"
skin polyp,"skin swelling,skin lesion,irregular appearing scalp,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness"
acute bronchitis,"sharp chest pain,sore throat,nasal congestion,headache,fever,difficulty breathing,coryza"
onychomycosis,"abnormal appearing skin,skin growth,skin dryness, peeling, scaliness, or roughness,too little hair"
pyelonephritis,"suprapubic pain,sharp abdominal pain,vomiting,frequent urination,blood in urine,low back pain,side pain"
presbyopia,"difficulty speaking,diminished vision,pain in eye,abnormal movement of eyelid"
vocal cord polyp,"sore throat,difficulty speaking,throat swelling,throat feels tight"
conjunctivitis due to virus,"nasal congestion,white discharge from eye,diminished vision,pain in eye,eye redness,lacrimation,fever,swollen eye"
contact dermatitis,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin moles,swollen eye,itching of skin,skin irritation"
athlete's foot,"skin swelling,abnormal appearing skin,skin lesion,foot or toe swelling,irregular appearing nails,skin rash"
jaw disorder,"headache,neck mass,jaw swelling,mouth pain"
hypoglycemia,"depressive or psychotic symptoms,abnormal involuntary movements,sweating"
rectal disorder,"blood in stool,diarrhea,burning abdominal pain,heartburn,melena,rectal bleeding"
gastrointestinal hemorrhage,"blood in stool,fainting,vomiting,vomiting blood"
headache after lumbar puncture,"headache,painful urination,neck pain,low back pain"
lymphadenitis,"cough,skin swelling,neck pain,neck swelling"
urethritis,"suprapubic pain,sharp abdominal pain,blood in urine,penile discharge"
seborrheic dermatitis,"skin lesion,skin growth,skin dryness, peeling, scaliness, or roughness,too little hair,dry or flaky scalp"
intestinal malabsorption,"cough,flatulence,sharp abdominal pain,vomiting"
injury to the leg,"knee pain,foot or toe pain,ankle pain,problems with movement,leg swelling,foot or toe swelling,infant feeding problem,irregular appearing nails"
neurosis,"anxiety and nervousness,depressive or psychotic symptoms,hostile behavior,drug abuse,headache,excessive anger,delusions or hallucinations"
sialoadenitis,"sore throat,cough,neck mass"
teething syndrome,"nasal congestion,ear pain,decreased appetite,redness in ear"
labyrinthitis,"diminished hearing,headache,ear pain,plugged feeling in ear,spots or clouds in vision,loss of sensation"
actinic keratosis,"skin swelling,symptoms of the face,skin dryness, peeling, scaliness, or roughness"
graves disease,"dizziness,palpitations,irregular heartbeat,sweating"
noninfectious gastroenteritis,"sharp abdominal pain,vomiting,nausea,diarrhea,chills,rectal bleeding"
poisoning due to gas,"sharp chest pain,headache,drainage in throat"
gastroduodenal ulcer,"blood in stool,sharp abdominal pain,nausea,changes in stool appearance"
pilonidal cyst,"skin swelling,pain of the anus,pelvic pain,bones are painful,ache all over,lower body pain"
goiter,"lump in throat,difficulty in swallowing,weight gain"
drug reaction,"dizziness,vomiting,nausea,abnormal appearing skin,peripheral edema,allergic reaction,itching of skin"
cataract,"diminished vision,symptoms of eye,abnormal movement of eyelid,spots or clouds in vision,cloudy eye"
chronic glaucoma,"diminished vision,pain in eye,foreign body sensation in eye,itchiness of eye"
obsessive compulsive disorder (ocd),"anxiety and nervousness,depression,depressive or psychotic symptoms,lack of growth,feeling ill,temper problems,low self-esteem,obsessions and compulsions"
mononeuritis,"leg pain,hand or finger pain,wrist pain,foot or toe pain,elbow pain,loss of sensation,hand or finger weakness"
urinary tract infection,"retention of urine,suprapubic pain,vomiting,frequent urination"
nose disorder,"sore throat,cough,nasal congestion,facial pain,difficulty breathing,painful sinuses"
lymphedema,"throat swelling,abnormal appearing skin,peripheral edema,leg swelling,fluid retention"
hyperemesis gravidarum,"sharp abdominal pain,vomiting,burning abdominal pain,problems during pregnancy"
otitis media,"nasal congestion,diminished hearing,vomiting,plugged feeling in ear,pulling at ears"
drug abuse (methamphetamine),"shortness of breath,depressive or psychotic symptoms,abusing alcohol,hostile behavior,drug abuse,feeling ill"
foreign body in the vagina,"emotional symptoms,painful urination"
hydrocele of the testicle,"groin mass,symptoms of the scrotum and testes,pain in testicles,mass in scrotum,lower abdominal pain,groin pain"
acute stress reaction,"depression,shortness of breath,sharp chest pain,abnormal involuntary movements,headache,fatigue"
diabetic retinopathy,"symptoms of eye,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,lacrimation,itchiness of eye"
alzheimer disease,"difficulty speaking,irregular appearing scalp,eye burns or stings"
gout,"wrist pain,hand or finger swelling,wrist swelling,foot or toe pain,leg swelling,foot or toe swelling"
vulvodynia,"sharp abdominal pain,nausea,lower abdominal pain,vaginal discharge,pelvic pain,burning abdominal pain,vaginal pain,side pain,cramps and spasms"
post-traumatic stress disorder (ptsd),"anxiety and nervousness,depressive or psychotic symptoms,insomnia,drug abuse,excessive anger,delusions or hallucinations,temper problems"
injury to the arm,"hand or finger pain,wrist swelling,arm stiffness or tightness,arm swelling,loss of sensation,elbow swelling"
heart block,"shortness of breath,chest tightness,irregular heartbeat,fainting,weight gain,weakness"
mononeuritis,"leg pain,hand or finger pain,ankle pain,loss of sensation,shoulder pain"
eye alignment disorder,"eye deviation,cross-eyed,pain in eye"
sinus bradycardia,"shortness of breath,sharp chest pain,dizziness,chest tightness,increased heart rate"
heart failure,"shortness of breath,chest tightness,difficulty breathing,fluid retention"
sialoadenitis,"cough,nasal congestion,facial pain,peripheral edema,neck swelling"
strep throat,"cough,nasal congestion,headache,decreased appetite,ache all over,chills"
skin disorder,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,irregular appearing scalp,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness,skin irritation"
skin polyp,"skin swelling,skin lesion,acne or pimples,skin moles,skin dryness, peeling, scaliness, or roughness,warts"
autonomic nervous system disorder,"dizziness,headache,decreased appetite"
attention deficit hyperactivity disorder (adhd),"anxiety and nervousness,lack of growth,hostile behavior,drug abuse,restlessness,antisocial behavior"
indigestion,"sharp chest pain,sharp abdominal pain,heartburn,stomach bloating"
gastrointestinal hemorrhage,"blood in stool,fainting,sharp abdominal pain,nausea,diarrhea"
shingles (herpes zoster),"sharp chest pain,abnormal appearing skin,skin rash"
laryngitis,"difficulty speaking,throat feels tight,difficulty in swallowing,ear pain,fever,coryza"
gastroduodenal ulcer,"nausea,vomiting blood,burning abdominal pain"
rosacea,"abnormal appearing skin,skin moles,lymphedema,skin dryness, peeling, scaliness, or roughness"
diverticulosis,"vomiting,nausea,diarrhea,upper abdominal pain,rectal bleeding"
threatened pregnancy,"back pain,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms,blood clots during menstrual periods,uterine contractions"
corneal disorder,"double vision,pain in eye,spots or clouds in vision"
astigmatism,"eye deviation,double vision,symptoms of eye,pain in eye,foreign body sensation in eye,lacrimation"
adhesive capsulitis of the shoulder,"arm pain,muscle pain,shoulder pain,ache all over"
lymphadenitis,"sore throat,cough,skin swelling,sharp abdominal pain,neck swelling"
myopia,"eye deviation,symptoms of eye,eye moves abnormally"
colonic polyp,"flatulence,pain of the anus,upper abdominal pain"
chronic obstructive pulmonary disease (copd),"shortness of breath,sharp chest pain,sore throat,fever,coughing up sputum,congestion in chest"
trigeminal neuralgia,"dizziness,abnormal involuntary movements,pain in eye,symptoms of the face"
head and neck cancer,"throat feels tight,neck mass,plugged feeling in ear,mouth pain"
hyperemesis gravidarum,"diarrhea,vomiting blood,burning abdominal pain,problems during pregnancy"
ear drum damage,"cough,nasal congestion,diminished hearing,ringing in ear,plugged feeling in ear,pulling at ears,redness in ear"
chronic constipation,"vomiting,nausea,lower abdominal pain,burning abdominal pain,constipation"
complex regional pain syndrome,"leg pain,arm pain,foot or toe pain,paresthesia"
shingles (herpes zoster),"sharp chest pain,headache,abnormal appearing skin,skin lesion,pain in eye,back pain,itching of skin"
dysthymic disorder,"depression,depressive or psychotic symptoms,insomnia,excessive anger,slurring words,temper problems,loss of sex drive"
smoking or tobacco addiction,"sharp chest pain,abusing alcohol,headache,excessive anger,hurts to breath"
fungal infection of the hair,"skin swelling,abnormal appearing skin,acne or pimples,skin growth,irregular appearing scalp,pelvic pain,itching of skin,skin dryness, peeling, scaliness, or roughness,skin irritation"
oral thrush (yeast infection),"irritable infant,tongue lesions,constipation,skin rash,mouth pain"
fracture of the vertebra,"hand or finger stiffness or tightness,back pain,low back pain,pelvic pain,bones are painful,leg stiffness or tightness"
